name,displayName,description,module,path,standalone
"._editorial-review-prose","._editorial-review-prose","","core","_bmad/core/tasks/._editorial-review-prose.xml","false"
"._editorial-review-structure","._editorial-review-structure","","core","_bmad/core/tasks/._editorial-review-structure.xml","false"
"._help","._help","","core","_bmad/core/tasks/._help.md","false"
"._index-docs","._index-docs","","core","_bmad/core/tasks/._index-docs.xml","false"
"._review-adversarial-general","._review-adversarial-general","","core","_bmad/core/tasks/._review-adversarial-general.xml","false"
"._shard-doc","._shard-doc","","core","_bmad/core/tasks/._shard-doc.xml","false"
"._workflow","._workflow","","core","_bmad/core/tasks/._workflow.xml","false"
"editorial-review-prose","Editorial Review - Prose","Clinical copy-editor that reviews text for communication issues","core","_bmad/core/tasks/editorial-review-prose.xml","true"
"editorial-review-structure","Editorial Review - Structure","Structural editor that proposes cuts, reorganization,
    and simplification while preserving comprehension","core","_bmad/core/tasks/editorial-review-structure.xml","true"
"help","help","Get unstuck by showing what workflow steps come next or answering questions about what to do","core","_bmad/core/tasks/help.md","true"
"index-docs","Index Docs","Generates or updates an index.md of all documents in the specified directory","core","_bmad/core/tasks/index-docs.xml","true"
"review-adversarial-general","Adversarial Review (General)","Cynically review content and produce findings","core","_bmad/core/tasks/review-adversarial-general.xml","true"
"shard-doc","Shard Document","Splits large markdown documents into smaller, organized files based on level 2 (default) sections","core","_bmad/core/tasks/shard-doc.xml","true"
"workflow","Execute Workflow","Execute given workflow by loading its configuration, following instructions, and producing output","core","_bmad/core/tasks/workflow.xml","false"
